City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Date
515,Gambela,ET,8.25,34.5833,72.81,80,19,5.08,light rain,2021-11-06 17:38:06
516,Guanare,VE,9.0418,-69.7421,89.62,55,74,6.91,broken clouds,2021-11-06 17:38:06
517,Nanakuli,US,21.3906,-158.1547,77.7,73,1,5.75,clear sky,2021-11-06 17:38:07
518,Dunedin,NZ,-45.8742,170.5036,52.81,83,83,5.99,broken clouds,2021-11-06 17:38:07
519,Horta,PT,38.5333,-28.6333,71.24,83,40,23.02,scattered clouds,2021-11-06 17:38:07
520,Qasigiannguit,GL,68.8193,-51.1922,19.65,77,100,4.5,overcast clouds,2021-11-06 17:38:08
521,Kommunisticheskiy,RU,61.6789,64.4819,36.03,91,100,13.38,overcast clouds,2021-11-06 17:38:08
522,Nuqui,CO,5.7125,-77.2708,81.66,75,68,8.95,light rain,2021-11-06 17:38:09
523,Fryazino,RU,55.9606,38.0456,45.09,74,92,12.53,overcast clouds,2021-11-06 17:38:09
524,Warri,NG,5.5167,5.75,77.94,90,100,4.43,light rain,2021-11-06 17:38:10
525,Tarija,BO,-21.5355,-64.7296,69.71,60,75,5.75,broken clouds,2021-11-06 17:34:47
526,Sheridan,US,44.8333,-106.9173,66.31,49,1,0.0,clear sky,2021-11-06 17:34:08
527,Bo Rai,TH,12.5728,102.5371,81.86,95,62,1.14,broken clouds,2021-11-06 17:38:11
528,Oktyabrskiy,RU,54.4815,53.471,38.01,37,100,22.82,overcast clouds,2021-11-06 17:38:11
529,Praya,CV,14.9215,-23.5087,84.74,58,40,19.57,scattered clouds,2021-11-06 17:38:12
530,Surab,PK,28.4914,66.2585,54.23,34,0,6.22,clear sky,2021-11-06 17:38:12
531,Valky,UA,49.8387,35.6207,42.66,73,40,7.09,scattered clouds,2021-11-06 17:38:13
532,Erenhot,CN,43.6475,111.9767,11.71,79,100,7.87,overcast clouds,2021-11-06 17:38:13
533,Goderich,CA,43.7501,-81.7165,49.91,61,98,13.8,overcast clouds,2021-11-06 17:34:44
534,Kosa,RU,59.9445,54.9977,36.57,95,100,12.59,overcast clouds,2021-11-06 17:38:14
535,Vaitape,PF,-16.5167,-151.75,79.93,69,34,4.72,scattered clouds,2021-11-06 17:38:14
536,Port Hedland,AU,-20.3167,118.5667,78.85,83,22,12.66,few clouds,2021-11-06 17:38:15
537,Saint George,US,37.1041,-113.5841,75.67,31,48,1.99,scattered clouds,2021-11-06 17:33:16
538,Stephenville,US,32.2207,-98.2023,64.76,59,1,5.75,clear sky,2021-11-06 17:38:15
539,Dali,CN,25.7,100.1833,47.34,67,26,3.38,scattered clouds,2021-11-06 17:38:16
540,Taltal,CL,-25.4,-70.4833,66.36,63,9,8.77,clear sky,2021-11-06 17:38:16
541,Khandyga,RU,62.6667,135.6,-4.47,99,99,3.24,overcast clouds,2021-11-06 17:38:17
542,Cervo,ES,43.6702,-7.4101,54.97,72,21,8.48,few clouds,2021-11-06 17:38:17
543,Umm Kaddadah,SD,13.6017,26.6876,87.26,19,7,10.6,clear sky,2021-11-06 17:38:18
544,Shu,KZ,43.5983,73.7614,23.36,66,0,4.63,clear sky,2021-11-06 17:38:18
545,Quatre Cocos,MU,-20.2078,57.7625,76.08,79,78,13.24,broken clouds,2021-11-06 17:38:19
546,Faya,SA,18.3851,42.4509,62.71,54,7,3.91,clear sky,2021-11-06 17:38:19
547,Broome,US,42.2506,-75.833,51.46,51,1,3.0,clear sky,2021-11-06 17:38:20
548,Grants Pass,US,42.439,-123.3284,50.49,84,40,3.44,fog,2021-11-06 17:37:43
549,Caravelas,BR,-17.7125,-39.2481,79.54,64,85,8.63,overcast clouds,2021-11-06 17:38:20
550,Korla,CN,41.7597,86.1469,26.78,42,0,4.45,clear sky,2021-11-06 17:38:21
551,Ygatimi,PY,-24.0833,-55.5,82.65,66,94,6.04,overcast clouds,2021-11-06 17:38:21
552,Cumpas,MX,29.9833,-109.7833,81.64,18,0,2.66,clear sky,2021-11-06 17:38:22
553,Tres Arroyos,AR,-38.3739,-60.2798,74.41,17,53,8.57,broken clouds,2021-11-06 17:38:22
554,Sabya,SA,17.1495,42.6254,85.62,59,4,4.7,clear sky,2021-11-06 17:38:23
555,Adrar,MR,20.5022,-10.0711,81.61,22,11,8.57,few clouds,2021-11-06 17:38:23
556,Huicungo,PE,-7.2833,-76.8,79.05,83,75,0.0,light rain,2021-11-06 17:38:24
557,Northam,GB,51.0333,-4.2167,55.09,96,77,24.79,broken clouds,2021-11-06 17:38:24
558,Tandur,IN,17.2333,77.5833,68.68,68,7,7.63,clear sky,2021-11-06 17:38:25
559,Kiruna,SE,67.8557,20.2251,27.52,93,90,3.44,overcast clouds,2021-11-06 17:38:25
560,Maningrida,AU,-12.0667,134.2667,82.63,75,61,6.15,broken clouds,2021-11-06 17:38:26
561,Santa Maria,BR,-29.6842,-53.8069,72.7,68,90,6.91,overcast clouds,2021-11-06 17:38:26
562,Vazhiny,RU,60.9644,34.0222,37.31,93,95,6.6,overcast clouds,2021-11-06 17:38:26
563,Asyut,EG,27.181,31.1837,77.97,37,0,6.4,clear sky,2021-11-06 17:38:27
564,Suba,PH,10.8438,121.0102,83.55,79,69,15.19,broken clouds,2021-11-06 17:38:27
565,Naron,ES,43.5167,-8.1528,58.05,76,17,9.53,few clouds,2021-11-06 17:38:28
566,Chara,RU,56.9064,118.2631,5.45,82,100,0.72,overcast clouds,2021-11-06 17:38:28
567,Severnyy,RU,50.677,36.5532,44.64,87,24,6.71,few clouds,2021-11-06 17:38:29
