City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
128,Tsaratanana,MG,83.28,broken clouds,-16.7833,47.65,Tsaratanana
132,Kilindoni,TZ,80.6,scattered clouds,-7.9139,39.6668,Kilindoni
133,Cap Malheureux,MU,76.46,scattered clouds,-19.9842,57.6142,Grand Baie
135,Hithadhoo,MV,82.42,overcast clouds,-0.6,73.0833,Addu City
140,Pedasi,PA,81.84,broken clouds,7.5333,-80.0333,Pedasi
143,Sao Joao Da Barra,BR,78.89,broken clouds,-21.6403,-41.0511,Grussaí
150,Alta Floresta,BR,84.02,broken clouds,-9.8756,-56.0861,Alta Floresta
158,Puerto Narino,CO,89.55,overcast clouds,-3.7703,-70.3831,Puerto Nariño
159,Am Timan,TD,89.28,broken clouds,11.0297,20.2827,Am Timan
161,Hirara,JP,77.2,overcast clouds,24.8,125.2833,Hirara
162,Mahebourg,MU,76.24,scattered clouds,-20.4081,57.7,Mahebourg
163,Praia,CV,84.74,scattered clouds,14.9215,-23.5087,Praia
165,Jaisalmer,IN,78.96,broken clouds,26.9147,70.9181,Jaisalmer
167,Namwala,ZM,85.1,overcast clouds,-15.7504,26.4384,Namwala
170,Marsabit,KE,76.96,scattered clouds,2.3284,37.9899,Marsabit
175,Daru,PG,78.98,scattered clouds,-9.0763,143.2092,Daru
179,Itarema,BR,87.39,scattered clouds,-2.9248,-39.9167,Itarema
181,Namatanai,PG,78.62,broken clouds,-3.6667,152.4333,Namatanai
183,Padang,ID,75.25,moderate rain,-0.9492,100.3543,Padang
186,Aripuana,BR,75.76,overcast clouds,-9.1667,-60.6333,Aripuanã
188,Vanimo,PG,76.51,broken clouds,-2.6741,141.3028,Vanimo
191,Boyolangu,ID,76.86,overcast clouds,-8.1181,111.8935,Tulungagung
193,Castro,BR,77.34,broken clouds,-24.7911,-50.0119,Castro
198,Lorengau,PG,81.68,broken clouds,-2.0226,147.2712,Lorengau
200,Kupang,ID,80.56,scattered clouds,-10.1667,123.5833,Kupang
201,Comodoro Rivadavia,AR,85.86,clear sky,-45.8667,-67.5,Comodoro Rivadavia
203,Tual,ID,83.35,overcast clouds,-5.6667,132.75,Tual
212,Bathsheba,BB,86.61,scattered clouds,13.2167,-59.5167,Wilson Hill
216,Ribas Do Rio Pardo,BR,88.45,overcast clouds,-20.4431,-53.7592,Ribas do Rio Pardo
218,Cabo San Lucas,MX,88.52,broken clouds,22.8909,-109.9124,Cabo San Lucas
220,Tecoanapa,MX,84.6,broken clouds,16.5167,-98.75,Barra de Tecoanapa
221,Cayenne,GF,84.24,light rain,4.9333,-52.3333,Cayenne
226,Juba,SS,80.19,light rain,4.8517,31.5825,Juba
